model,equipment_type,train_through_year,test_year,threshold,accuracy_pct,auc,precision_pct,recall_pct,f1_pct
model1_elevator,Elevator,2016,2017,0.325,72.55,0.7514,73.6,87.7,80.1
model1_escalator,Escalator,2016,2017,0.565,88.83,0.9142,94.8,90.5,92.6
model1_elevator,Elevator,2017,2018,0.27,73.96,0.756,70.6,98.4,82.2
model1_escalator,Escalator,2017,2018,0.42,92.91,0.9287,93.9,97.3,95.6
model1_elevator,Elevator,2018,2019,0.355,74.53,0.7685,71.8,94.1,81.4
model1_escalator,Escalator,2018,2019,0.505,95.1,0.9623,96.5,97.5,97.0
model1_elevator,Elevator,2019,2020,0.36,66.59,0.745,59.9,96.0,73.8
model1_escalator,Escalator,2019,2020,0.58,88.92,0.8891,88.8,97.1,92.8
model1_elevator,Elevator,2020,2021,0.36,69.85,0.7552,66.2,85.4,74.6
model1_escalator,Escalator,2020,2021,0.59,85.87,0.9335,95.3,85.9,90.3
model1_elevator,Elevator,2021,2022,0.27,70.63,0.776,65.5,96.1,77.9
model1_escalator,Escalator,2021,2022,0.44,94.56,0.9343,93.8,99.5,96.6
model1_elevator,Elevator,2022,2023,0.32,70.11,0.7693,65.5,95.7,77.8
model1_escalator,Escalator,2022,2023,0.56,93.94,0.9399,94.1,98.1,96.0
model1_elevator,Elevator,2023,2024,0.325,70.26,0.7779,64.9,95.8,77.3
model1_escalator,Escalator,2023,2024,0.62,92.65,0.9316,93.5,96.6,95.1
model1_elevator,Elevator,2024,2025,0.34,71.5,0.7738,66.8,94.1,78.1
model1_escalator,Escalator,2024,2025,0.64,93.3,0.9538,94.9,95.9,95.4
model1_elevator,Elevator,2025,2026,0.33,75.99,0.8046,71.6,96.3,82.1
model1_escalator,Escalator,2025,2026,0.64,91.01,0.9235,92.2,95.5,93.8
model2,,2021,2022,0.175,81.96,0.9133,28.4,80.4,42.0
model2,,2022,2023,0.135,80.31,0.9372,26.4,90.8,40.9
model2,,2023,2024,0.27,88.33,0.9537,36.1,87.5,51.1
model2,,2024,2025,0.28,90.2,0.9683,40.4,92.5,56.2
