date,ofns_desc,pd_desc,law_cat_cd,boro_nm,station_name,year,month,month_year
2024-12-31,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BRONX,205 ST.-NORWOOD,2024,12,2024-12
2024-12-31,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,BRONX,EAST TREMONT AVE.-WEST FARMS S,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,CRESCENT STREET,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,QUEENS,ROOSEVELT AVE.-JACKSON HEIGHTS,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,EAST 180 STREET,2024,12,2024-12
2024-12-30,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,6 AVENUE,2024,12,2024-12
2024-12-31,CRIMINAL TRESPASS,"TRESPASS 3, CRIMINAL",MISDEMEANOR,MANHATTAN,42 ST.-TIMES SQUARE,2024,12,2024-12
2024-12-22,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,MANHATTAN,CHAMBERS STREET,2024,12,2024-12
2024-12-30,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",FELONY,BROOKLYN,MYRTLE AVENUE,2024,12,2024-12
2024-12-31,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,23 STREET,2024,12,2024-12
2024-12-13,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,BROOKLYN,BROADWAY-EASTERN PKWY,2024,12,2024-12
2024-12-29,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,42 ST.-TIMES SQUARE,2024,12,2024-12
2024-12-31,FELONY ASSAULT,ASSAULT POLICE/PEACE OFFICER,FELONY,QUEENS,FAR ROCKAWAY-MOTT AVE.,2024,12,2024-12
2024-12-31,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",FELONY,MANHATTAN,18 STREET,2024,12,2024-12
2024-12-31,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,14 STREET,2024,12,2024-12
2024-12-31,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,BROOKLYN,CRESCENT STREET,2024,12,2024-12
2024-12-30,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,FELONY,BROOKLYN,BRIGHTON BEACH,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,BURNSIDE AVENUE,2024,12,2024-12
2024-12-31,OTHER OFFENSES RELATED TO THEFT,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,86 STREET,2024,12,2024-12
2024-12-31,SEX CRIMES,"SEXUAL ABUSE 3,2",MISDEMEANOR,MANHATTAN,42 STREET,2024,12,2024-12
