station_name,borough,month,predicted_hotspot_prob,predicted_hotspot_label,confidence_bucket,scenario_mode
1 AVENUE,MANHATTAN,2027-01-01,0.000349,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-02-01,0.000417,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-03-01,0.000505,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-04-01,0.0005,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-05-01,0.000493,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-06-01,0.000549,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-07-01,0.000531,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-08-01,0.000572,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-09-01,0.000587,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-10-01,0.000492,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-11-01,0.000429,0,very_low,baseline
1 AVENUE,MANHATTAN,2027-12-01,0.000413,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-01-01,0.000539,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-02-01,0.000535,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-03-01,0.000532,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-04-01,0.000532,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-05-01,0.000548,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-06-01,0.000549,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-07-01,0.000531,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-08-01,0.000572,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-09-01,0.000587,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-10-01,0.000492,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-11-01,0.000429,0,very_low,baseline
1 AVENUE,MANHATTAN,2028-12-01,0.000413,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-01-01,0.000539,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-02-01,0.000535,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-03-01,0.000532,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-04-01,0.000532,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-05-01,0.000548,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-06-01,0.000549,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-07-01,0.000531,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-08-01,0.000572,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-09-01,0.000587,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-10-01,0.000492,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-11-01,0.000429,0,very_low,baseline
1 AVENUE,MANHATTAN,2029-12-01,0.000413,0,very_low,baseline
102 STREET,QUEENS,2027-01-01,0.003041,0,very_low,baseline
102 STREET,QUEENS,2027-02-01,0.004042,0,very_low,baseline
102 STREET,QUEENS,2027-03-01,0.003892,0,very_low,baseline
102 STREET,QUEENS,2027-04-01,0.003515,0,very_low,baseline
102 STREET,QUEENS,2027-05-01,0.004067,0,very_low,baseline
102 STREET,QUEENS,2027-06-01,0.003506,0,very_low,baseline
102 STREET,QUEENS,2027-07-01,0.003453,0,very_low,baseline
102 STREET,QUEENS,2027-08-01,0.003418,0,very_low,baseline
102 STREET,QUEENS,2027-09-01,0.003368,0,very_low,baseline
102 STREET,QUEENS,2027-10-01,0.00316,0,very_low,baseline
102 STREET,QUEENS,2027-11-01,0.002701,0,very_low,baseline
102 STREET,QUEENS,2027-12-01,0.00257,0,very_low,baseline
102 STREET,QUEENS,2028-01-01,0.003489,0,very_low,baseline
102 STREET,QUEENS,2028-02-01,0.003509,0,very_low,baseline
102 STREET,QUEENS,2028-03-01,0.003516,0,very_low,baseline
102 STREET,QUEENS,2028-04-01,0.003515,0,very_low,baseline
102 STREET,QUEENS,2028-05-01,0.003675,0,very_low,baseline
102 STREET,QUEENS,2028-06-01,0.003506,0,very_low,baseline
102 STREET,QUEENS,2028-07-01,0.003453,0,very_low,baseline
102 STREET,QUEENS,2028-08-01,0.003418,0,very_low,baseline
102 STREET,QUEENS,2028-09-01,0.003368,0,very_low,baseline
102 STREET,QUEENS,2028-10-01,0.00316,0,very_low,baseline
102 STREET,QUEENS,2028-11-01,0.002701,0,very_low,baseline
102 STREET,QUEENS,2028-12-01,0.00257,0,very_low,baseline
102 STREET,QUEENS,2029-01-01,0.003489,0,very_low,baseline
102 STREET,QUEENS,2029-02-01,0.003509,0,very_low,baseline
102 STREET,QUEENS,2029-03-01,0.003516,0,very_low,baseline
102 STREET,QUEENS,2029-04-01,0.003515,0,very_low,baseline
102 STREET,QUEENS,2029-05-01,0.003675,0,very_low,baseline
102 STREET,QUEENS,2029-06-01,0.003506,0,very_low,baseline
102 STREET,QUEENS,2029-07-01,0.003453,0,very_low,baseline
102 STREET,QUEENS,2029-08-01,0.003418,0,very_low,baseline
102 STREET,QUEENS,2029-09-01,0.003368,0,very_low,baseline
102 STREET,QUEENS,2029-10-01,0.00316,0,very_low,baseline
102 STREET,QUEENS,2029-11-01,0.002701,0,very_low,baseline
102 STREET,QUEENS,2029-12-01,0.00257,0,very_low,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-01-01,0.552936,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-02-01,0.566481,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-03-01,0.616838,1,high,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-04-01,0.567985,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-05-01,0.6,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-06-01,0.579059,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-07-01,0.553032,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-08-01,0.550465,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-09-01,0.553847,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-10-01,0.542912,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-11-01,0.52043,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2027-12-01,0.52233,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-01-01,0.5246,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-02-01,0.535192,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-03-01,0.548214,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-04-01,0.54975,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-05-01,0.560791,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-06-01,0.568976,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-07-01,0.56445,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-08-01,0.553675,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-09-01,0.556752,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-10-01,0.54583,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-11-01,0.528664,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2028-12-01,0.52233,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-01-01,0.5246,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-02-01,0.535192,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-03-01,0.548214,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-04-01,0.54975,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-05-01,0.560791,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-06-01,0.568976,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-07-01,0.56445,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-08-01,0.553675,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-09-01,0.556752,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-10-01,0.54583,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-11-01,0.528664,1,medium,baseline
103 ST.-CORONA PLAZA,QUEENS,2029-12-01,0.52233,1,medium,baseline
103 STREET,MANHATTAN,2027-01-01,0.000434,0,very_low,baseline
103 STREET,MANHATTAN,2027-02-01,0.000333,0,very_low,baseline
103 STREET,MANHATTAN,2027-03-01,0.000428,0,very_low,baseline
103 STREET,MANHATTAN,2027-04-01,0.000442,0,very_low,baseline
103 STREET,MANHATTAN,2027-05-01,0.000444,0,very_low,baseline
103 STREET,MANHATTAN,2027-06-01,0.000363,0,very_low,baseline
103 STREET,MANHATTAN,2027-07-01,0.000375,0,very_low,baseline
103 STREET,MANHATTAN,2027-08-01,0.000393,0,very_low,baseline
103 STREET,MANHATTAN,2027-09-01,0.000402,0,very_low,baseline
103 STREET,MANHATTAN,2027-10-01,0.000349,0,very_low,baseline
103 STREET,MANHATTAN,2027-11-01,0.000279,0,very_low,baseline
103 STREET,MANHATTAN,2027-12-01,0.000266,0,very_low,baseline
103 STREET,MANHATTAN,2028-01-01,0.000323,0,very_low,baseline
103 STREET,MANHATTAN,2028-02-01,0.000351,0,very_low,baseline
103 STREET,MANHATTAN,2028-03-01,0.000334,0,very_low,baseline
103 STREET,MANHATTAN,2028-04-01,0.000332,0,very_low,baseline
103 STREET,MANHATTAN,2028-05-01,0.000341,0,very_low,baseline
103 STREET,MANHATTAN,2028-06-01,0.000363,0,very_low,baseline
103 STREET,MANHATTAN,2028-07-01,0.000375,0,very_low,baseline
103 STREET,MANHATTAN,2028-08-01,0.000393,0,very_low,baseline
103 STREET,MANHATTAN,2028-09-01,0.000402,0,very_low,baseline
103 STREET,MANHATTAN,2028-10-01,0.000349,0,very_low,baseline
103 STREET,MANHATTAN,2028-11-01,0.000279,0,very_low,baseline
103 STREET,MANHATTAN,2028-12-01,0.000266,0,very_low,baseline
103 STREET,MANHATTAN,2029-01-01,0.000323,0,very_low,baseline
103 STREET,MANHATTAN,2029-02-01,0.000351,0,very_low,baseline
103 STREET,MANHATTAN,2029-03-01,0.000334,0,very_low,baseline
103 STREET,MANHATTAN,2029-04-01,0.000332,0,very_low,baseline
103 STREET,MANHATTAN,2029-05-01,0.000341,0,very_low,baseline
103 STREET,MANHATTAN,2029-06-01,0.000363,0,very_low,baseline
103 STREET,MANHATTAN,2029-07-01,0.000375,0,very_low,baseline
103 STREET,MANHATTAN,2029-08-01,0.000393,0,very_low,baseline
103 STREET,MANHATTAN,2029-09-01,0.000402,0,very_low,baseline
103 STREET,MANHATTAN,2029-10-01,0.000349,0,very_low,baseline
103 STREET,MANHATTAN,2029-11-01,0.000279,0,very_low,baseline
103 STREET,MANHATTAN,2029-12-01,0.000266,0,very_low,baseline
104 STREET,QUEENS,2027-01-01,0.000136,0,very_low,baseline
104 STREET,QUEENS,2027-02-01,0.00016,0,very_low,baseline
104 STREET,QUEENS,2027-03-01,0.000141,0,very_low,baseline
104 STREET,QUEENS,2027-04-01,0.000134,0,very_low,baseline
104 STREET,QUEENS,2027-05-01,0.000142,0,very_low,baseline
104 STREET,QUEENS,2027-06-01,0.000145,0,very_low,baseline
104 STREET,QUEENS,2027-07-01,0.000149,0,very_low,baseline
104 STREET,QUEENS,2027-08-01,0.00015,0,very_low,baseline
104 STREET,QUEENS,2027-09-01,0.000153,0,very_low,baseline
104 STREET,QUEENS,2027-10-01,0.000134,0,very_low,baseline
104 STREET,QUEENS,2027-11-01,0.000124,0,very_low,baseline
104 STREET,QUEENS,2027-12-01,0.000118,0,very_low,baseline
104 STREET,QUEENS,2028-01-01,0.000142,0,very_low,baseline
104 STREET,QUEENS,2028-02-01,0.000147,0,very_low,baseline
104 STREET,QUEENS,2028-03-01,0.000146,0,very_low,baseline
104 STREET,QUEENS,2028-04-01,0.000144,0,very_low,baseline
104 STREET,QUEENS,2028-05-01,0.000148,0,very_low,baseline
104 STREET,QUEENS,2028-06-01,0.000145,0,very_low,baseline
104 STREET,QUEENS,2028-07-01,0.000149,0,very_low,baseline
104 STREET,QUEENS,2028-08-01,0.00015,0,very_low,baseline
104 STREET,QUEENS,2028-09-01,0.000153,0,very_low,baseline
104 STREET,QUEENS,2028-10-01,0.000134,0,very_low,baseline
104 STREET,QUEENS,2028-11-01,0.000124,0,very_low,baseline
104 STREET,QUEENS,2028-12-01,0.000118,0,very_low,baseline
104 STREET,QUEENS,2029-01-01,0.000142,0,very_low,baseline
104 STREET,QUEENS,2029-02-01,0.000147,0,very_low,baseline
104 STREET,QUEENS,2029-03-01,0.000146,0,very_low,baseline
104 STREET,QUEENS,2029-04-01,0.000144,0,very_low,baseline
104 STREET,QUEENS,2029-05-01,0.000148,0,very_low,baseline
104 STREET,QUEENS,2029-06-01,0.000145,0,very_low,baseline
104 STREET,QUEENS,2029-07-01,0.000149,0,very_low,baseline
104 STREET,QUEENS,2029-08-01,0.00015,0,very_low,baseline
104 STREET,QUEENS,2029-09-01,0.000153,0,very_low,baseline
104 STREET,QUEENS,2029-10-01,0.000134,0,very_low,baseline
104 STREET,QUEENS,2029-11-01,0.000124,0,very_low,baseline
104 STREET,QUEENS,2029-12-01,0.000118,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-01-01,0.000252,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-02-01,0.000315,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-03-01,0.000325,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-04-01,0.000354,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-05-01,0.000349,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-06-01,0.000341,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-07-01,0.000332,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-08-01,0.000348,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-09-01,0.000356,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-10-01,0.000313,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-11-01,0.000243,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2027-12-01,0.000231,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-01-01,0.000334,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-02-01,0.000363,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-03-01,0.000339,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-04-01,0.000329,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-05-01,0.000338,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-06-01,0.000341,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-07-01,0.000332,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-08-01,0.000348,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-09-01,0.000356,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-10-01,0.000313,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-11-01,0.000243,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2028-12-01,0.000231,0,very_low,baseline
110 ST.-CATHEDRAL PKWY.,MANHATTAN,2029-01-01,0.000334,0,very_low,baseline
