equipment_code,equipment_type,month,predicted_service_prob,predicted_service_label,severity,confidence_bucket,scenario_mode
EL103,Elevator,2027-01-01,0.725024,1,URGENT,high,baseline
EL103,Elevator,2027-02-01,0.482482,1,MONITOR,medium,baseline
EL103,Elevator,2027-03-01,0.471861,1,MONITOR,medium,baseline
EL103,Elevator,2027-04-01,0.467386,1,MONITOR,medium,baseline
EL103,Elevator,2027-05-01,0.453609,1,MONITOR,medium,baseline
EL103,Elevator,2027-06-01,0.477006,1,MONITOR,medium,baseline
EL103,Elevator,2027-07-01,0.471546,1,MONITOR,medium,baseline
EL103,Elevator,2027-08-01,0.474581,1,MONITOR,medium,baseline
EL103,Elevator,2027-09-01,0.477693,1,MONITOR,medium,baseline
EL103,Elevator,2027-10-01,0.478782,1,MONITOR,medium,baseline
EL103,Elevator,2027-11-01,0.567283,1,MONITOR,medium,baseline
EL103,Elevator,2027-12-01,0.586278,1,MONITOR,medium,baseline
EL103,Elevator,2028-01-01,0.441221,1,MONITOR,medium,baseline
EL103,Elevator,2028-02-01,0.438101,1,MONITOR,medium,baseline
EL103,Elevator,2028-03-01,0.444078,1,MONITOR,medium,baseline
EL103,Elevator,2028-04-01,0.456555,1,MONITOR,medium,baseline
EL103,Elevator,2028-05-01,0.459009,1,MONITOR,medium,baseline
EL103,Elevator,2028-06-01,0.468912,1,MONITOR,medium,baseline
EL103,Elevator,2028-07-01,0.463463,1,MONITOR,medium,baseline
EL103,Elevator,2028-08-01,0.466492,1,MONITOR,medium,baseline
EL103,Elevator,2028-09-01,0.469598,1,MONITOR,medium,baseline
EL103,Elevator,2028-10-01,0.470685,1,MONITOR,medium,baseline
EL103,Elevator,2028-11-01,0.558433,1,MONITOR,medium,baseline
EL103,Elevator,2028-12-01,0.577527,1,MONITOR,medium,baseline
EL103,Elevator,2029-01-01,0.441221,1,MONITOR,medium,baseline
EL103,Elevator,2029-02-01,0.438101,1,MONITOR,medium,baseline
EL103,Elevator,2029-03-01,0.444078,1,MONITOR,medium,baseline
EL103,Elevator,2029-04-01,0.456555,1,MONITOR,medium,baseline
EL103,Elevator,2029-05-01,0.459009,1,MONITOR,medium,baseline
EL103,Elevator,2029-06-01,0.468912,1,MONITOR,medium,baseline
EL103,Elevator,2029-07-01,0.463463,1,MONITOR,medium,baseline
EL103,Elevator,2029-08-01,0.466492,1,MONITOR,medium,baseline
EL103,Elevator,2029-09-01,0.469598,1,MONITOR,medium,baseline
EL103,Elevator,2029-10-01,0.470685,1,MONITOR,medium,baseline
EL103,Elevator,2029-11-01,0.558433,1,MONITOR,medium,baseline
EL103,Elevator,2029-12-01,0.577527,1,MONITOR,medium,baseline
EL104,Elevator,2027-01-01,0.897457,1,URGENT,very_high,baseline
EL104,Elevator,2027-02-01,0.823395,1,URGENT,very_high,baseline
EL104,Elevator,2027-03-01,0.877259,1,URGENT,very_high,baseline
EL104,Elevator,2027-04-01,0.898657,1,URGENT,very_high,baseline
EL104,Elevator,2027-05-01,0.903257,1,URGENT,very_high,baseline
EL104,Elevator,2027-06-01,0.879991,1,URGENT,very_high,baseline
EL104,Elevator,2027-07-01,0.882106,1,URGENT,very_high,baseline
EL104,Elevator,2027-08-01,0.881029,1,URGENT,very_high,baseline
EL104,Elevator,2027-09-01,0.880759,1,URGENT,very_high,baseline
EL104,Elevator,2027-10-01,0.880281,1,URGENT,very_high,baseline
EL104,Elevator,2027-11-01,0.888829,1,URGENT,very_high,baseline
EL104,Elevator,2027-12-01,0.898674,1,URGENT,very_high,baseline
EL104,Elevator,2028-01-01,0.82828,1,URGENT,very_high,baseline
EL104,Elevator,2028-02-01,0.832916,1,URGENT,very_high,baseline
EL104,Elevator,2028-03-01,0.854574,1,URGENT,very_high,baseline
EL104,Elevator,2028-04-01,0.858725,1,URGENT,very_high,baseline
EL104,Elevator,2028-05-01,0.8706,1,URGENT,very_high,baseline
EL104,Elevator,2028-06-01,0.871868,1,URGENT,very_high,baseline
EL104,Elevator,2028-07-01,0.874105,1,URGENT,very_high,baseline
EL104,Elevator,2028-08-01,0.872967,1,URGENT,very_high,baseline
EL104,Elevator,2028-09-01,0.87268,1,URGENT,very_high,baseline
EL104,Elevator,2028-10-01,0.872175,1,URGENT,very_high,baseline
EL104,Elevator,2028-11-01,0.881223,1,URGENT,very_high,baseline
EL104,Elevator,2028-12-01,0.89166,1,URGENT,very_high,baseline
EL104,Elevator,2029-01-01,0.82828,1,URGENT,very_high,baseline
EL104,Elevator,2029-02-01,0.832916,1,URGENT,very_high,baseline
EL104,Elevator,2029-03-01,0.854574,1,URGENT,very_high,baseline
EL104,Elevator,2029-04-01,0.858725,1,URGENT,very_high,baseline
EL104,Elevator,2029-05-01,0.8706,1,URGENT,very_high,baseline
EL104,Elevator,2029-06-01,0.871868,1,URGENT,very_high,baseline
EL104,Elevator,2029-07-01,0.874105,1,URGENT,very_high,baseline
EL104,Elevator,2029-08-01,0.872967,1,URGENT,very_high,baseline
