"Month","Borough","Equipment Type","Equipment Code","Total Outages","Scheduled Outages","Unscheduled Outages","Entrapments","Time Since Major Improvement","AM Peak Availability","AM Peak Hours Available","AM Peak Total Hours","PM Peak Availability","PM Peak Hours Available","PM Peak Total Hours","24-Hour Availability","24-Hour Hours Available","24-Hour Total Hours","Station Name","Station MRN","Station Complex Name","Station Complex MRN"
"01/01/2015","Queens","Elevator","EL426","2","2","0","0","95","100%","124","124","100%","124","124","98.60215053763%","733.6","744","JUNCTIONBLVD-FLS-7","451","Junction Blvd - Station","451"
"01/01/2015","Queens","Elevator","EL411","6","5","1","0","313","98.46774193548%","122.1","124","98.15860215054%","121.71666666667","124","96.25224014337%","716.11666666667","744","SUTPHINBLVD-ARCHERAV-JFKAIRPORT-QBL-E/J/Z","279","Sutphin Blvd-Archer Av-JFK Airport - Station","279"
"01/01/2015","Brooklyn","Escalator","ES332","16","3","13","0","1039","95.81989247312%","118.81666666667","124","90.33602150538%","112.01666666667","124","93.26836917563%","693.91666666667","744","MYRTLE-WYCKOFFAVS-MYT-M","112","Myrtle-Wyckoff Avs (L,M)","630"
"01/01/2015","Queens","Elevator","EL449X","0","0","0","0","N/A","100%","124","124","100%","124","124","100%","744","744","SUTPHINBLVD-ARCHERAV-JFKAIRPORT-QBL-E/J/Z","279","Sutphin Blvd-Archer Av-JFK Airport - Station","279"
"01/01/2015","Manhattan","Escalator","ES239","7","3","4","0","655","97.88978494624%","121.38333333333","124","97.37903225806%","120.75","124","96.4314516129%","717.45","744","5AV/53ST-QBL-E/M","276","5 Av/53 St - Station","276"
"01/01/2015","Brooklyn","Elevator","EL706","13","3","10","4","56","43.89784946237%","54.43333333333","124","32.52688172043%","40.33333333333","124","37.50448028674%","279.03333333333","744","JAYST-METROTECH-8AV-A/C/F","174","Jay St-MetroTech (A,C,F,R)","636"
"01/01/2015","Manhattan","Elevator","EL244","2","2","0","0","157","100%","124","124","100%","124","124","99.27867383513%","738.63333333333","744","GRANDCENTRAL-42ST-FLS-7","465","Grand Central-42 St (S,4,5,6,7)","610"
"01/01/2015","Manhattan","Escalator","ES101","9","0","9","0","1315","80.64516129032%","100","124","78.45430107527%","97.28333333333","124","78.04211469534%","580.63333333333","744","125ST-BWY7-1","306","125 St - Station","306"
"01/01/2015","Manhattan","Escalator","ES345","9","2","7","0","453","100%","124","124","94.61021505376%","117.31666666667","124","96.27240143369%","716.26666666667","744","BOWLINGGREEN-LEX-4/5","414","Bowling Green - Station","414"
"01/01/2015","Manhattan","Escalator","ES368","4","2","2","0","14","96.77419354839%","120","124","96.77419354839%","120","124","96.34184587814%","716.78333333333","744","FULTONST-8AV-A/C","172","Fulton St (A,C,J,Z,2,3,4,5)","628"
"01/01/2015","Manhattan","Escalator","ES405","4","2","2","0","303","100%","123.5","123.5","96.77419354839%","120","124","98.10910573156%","722.06666666667","735.98333333333","LEXINGTONAV/63ST-63S-F/Q","223","Lexington Av/63 St - Station","223"
