Month,Borough,Equipment Type,Equipment Code,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
01/01/2015,Queens,Elevator,EL426,2,2,0,0,95,1,124,124,1,124,124,0.986021505376344,733.6,744,JUNCTIONBLVD-FLS-7,451,Junction Blvd - Station,451
01/01/2015,Queens,Elevator,EL411,6,5,1,0,313,0.984677419354839,122.10000000000001,124,0.981586021505376,121.71666666666667,124,0.962522401433692,716.1166666666667,744,SUTPHINBLVD-ARCHERAV-JFKAIRPORT-QBL-E/J/Z,279,Sutphin Blvd-Archer Av-JFK Airport - Station,279
01/01/2015,Brooklyn,Escalator,ES332,16,3,13,0,1039,0.958198924731183,118.81666666666666,124,0.903360215053763,112.01666666666667,124,0.932683691756272,693.9166666666666,744,MYRTLE-WYCKOFFAVS-MYT-M,112,"Myrtle-Wyckoff Avs (L,M)",630
01/01/2015,Queens,Elevator,EL449X,0,0,0,0,N/A,1,124,124,1,124,124,1,744,744,SUTPHINBLVD-ARCHERAV-JFKAIRPORT-QBL-E/J/Z,279,Sutphin Blvd-Archer Av-JFK Airport - Station,279
01/01/2015,Manhattan,Escalator,ES239,7,3,4,0,655,0.978897849462366,121.38333333333335,124,0.973790322580645,120.75,124,0.964314516129032,717.45,744,5AV/53ST-QBL-E/M,276,5 Av/53 St - Station,276
01/01/2015,Brooklyn,Elevator,EL706,13,3,10,4,56,0.438978494623656,54.43333333333336,124,0.325268817204301,40.33333333333337,124,0.375044802867384,279.03333333333336,744,JAYST-METROTECH-8AV-A/C/F,174,"Jay St-MetroTech (A,C,F,R)",636
01/01/2015,Manhattan,Elevator,EL244,2,2,0,0,157,1,124,124,1,124,124,0.992786738351254,738.6333333333333,744,GRANDCENTRAL-42ST-FLS-7,465,"Grand Central-42 St (S,4,5,6,7)",610
01/01/2015,Manhattan,Escalator,ES101,9,0,9,0,1315,0.806451612903226,100,124,0.784543010752688,97.28333333333333,124,0.780421146953405,580.6333333333333,744,125ST-BWY7-1,306,125 St - Station,306
01/01/2015,Manhattan,Escalator,ES345,9,2,7,0,453,1,124,124,0.946102150537634,117.31666666666666,124,0.962724014336918,716.2666666666667,744,BOWLINGGREEN-LEX-4/5,414,Bowling Green - Station,414
01/01/2015,Manhattan,Escalator,ES368,4,2,2,0,14,0.967741935483871,120,124,0.967741935483871,120,124,0.963418458781362,716.7833333333333,744,FULTONST-8AV-A/C,172,"Fulton St (A,C,J,Z,2,3,4,5)",628
01/01/2015,Manhattan,Escalator,ES405,4,2,2,0,303,1,123.50000000000001,123.50000000000001,0.967741935483871,120,124,0.98109105731561,722.0666666666667,735.9833333333333,LEXINGTONAV/63ST-63S-F/Q,223,Lexington Av/63 St - Station,223
