"cmplnt_fr_dt","ofns_desc","pd_desc","law_cat_cd","boro_nm","station_name"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BROOKLYN","FLATBUSH AVE.-BROOKLYN COLLEGE"
"2025-01-01T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","66 ST.-LINCOLN CENTER"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BROOKLYN","UTICA AVENUE"
"2025-01-01T00:00:00.000","ADMINISTRATIVE CODE","N.Y.C. TRANSIT AUTH. R&R","VIOLATION","MANHATTAN","14 STREET"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BRONX","BROOK AVENUE"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BROOKLYN","ALABAMA AVENUE"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","MANHATTAN","UNION SQUARE"
"2025-01-01T00:00:00.000","DISORDERLY CONDUCT","DISORDERLY CONDUCT","VIOLATION","BROOKLYN","UTICA AVE.-CROWN HEIGHTS"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BROOKLYN","NEVINS STREET"
"2025-01-01T00:00:00.000","ADMINISTRATIVE CODE","N.Y.C. TRANSIT AUTH. R&R","VIOLATION","BROOKLYN","CRESCENT STREET"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BRONX","EAST 180 STREET"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","MANHATTAN","34 ST.-PENN STATION"
"2025-01-01T00:00:00.000","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","FELONY","MANHATTAN","110 ST.-CATHEDRAL PKWY."
"2025-01-01T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","MISCHIEF, CRIMINAL 4, BY FIRE","MISDEMEANOR","MANHATTAN","EAST BROADWAY"
"2025-01-01T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","BRONX","EAST 180 STREET"
"2025-01-01T00:00:00.000","DANGEROUS DRUGS","CONTROLLED SUBSTANCE, POSSESSI","MISDEMEANOR","MANHATTAN","59 ST.-COLUMBUS CIRCLE"
"2025-01-01T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","W. 4 STREET"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BROOKLYN","CRESCENT STREET"
"2025-01-01T00:00:00.000","ROBBERY","ROBBERY,POCKETBOOK/CARRIED BAG","FELONY","BROOKLYN","HOYT STREET"
"2025-01-01T00:00:00.000","FELONY ASSAULT","ASSAULT POLICE/PEACE OFFICER","FELONY","BRONX","HUNTS POINT AVENUE"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BRONX","BROOK AVENUE"
"2025-01-01T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","BROOKLYN","ATLANTIC AVENUE"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","MANHATTAN","125 STREET"
"2025-01-01T00:00:00.000","FRAUDS","IMPERSONATION 2, PUBLIC SERVAN","MISDEMEANOR","MANHATTAN","59 ST.-COLUMBUS CIRCLE"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","QUEENS","21 ST.-QUEENSBRIDGE"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BROOKLYN","SUTTER AVENUE"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BRONX","LONGWOOD AVENUE"
"2025-01-01T00:00:00.000","DANGEROUS DRUGS","CONTROLLED SUBSTANCE, POSSESSI","MISDEMEANOR","MANHATTAN","59 ST.-COLUMBUS CIRCLE"
"2025-01-01T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","125 STREET"
"2025-01-01T00:00:00.000","DANGEROUS DRUGS","CONTROLLED SUBSTANCE,POSSESS.","FELONY","BROOKLYN","DEKALB AVENUE"
"2025-01-01T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","MANHATTAN","ESSEX STREET"
"2025-01-01T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","QUEENS","ROOSEVELT AVE.-JACKSON HEIGHTS"
"2025-01-01T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","BROOKLYN","ATLANTIC AVENUE"
"2025-01-01T00:00:00.000","PETIT LARCENY","LARCENY,PETIT FROM OPEN AREAS,","MISDEMEANOR","MANHATTAN","SOUTH FERRY"
"2025-01-01T00:00:00.000","DANGEROUS DRUGS","CONTROLLED SUBSTANCE,INTENT TO","FELONY","BROOKLYN","KOSCIUSKO STREET"
"2025-01-01T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","66 ST.-LINCOLN CENTER"
"2025-01-01T00:00:00.000","ADMINISTRATIVE CODE","N.Y.C. TRANSIT AUTH. R&R","VIOLATION","BROOKLYN","ATLANTIC AVENUE"
"2025-01-01T00:00:00.000","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","FELONY","MANHATTAN","14 STREET"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","MANHATTAN","125 STREET"
"2025-01-01T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","MENACING,UNCLASSIFIED","MISDEMEANOR","QUEENS","90 ST.-ELMHURST AVE."
"2025-01-01T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","66 ST.-LINCOLN CENTER"
"2025-01-01T00:00:00.000","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","FELONY","MANHATTAN","137 ST.-CITY COLLEGE"
"2025-01-01T00:00:00.000","GRAND LARCENY","LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)","FELONY","BROOKLYN","STILLWELL AVENUE-CONEY ISLAND"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","MANHATTAN","125 STREET"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BROOKLYN","KOSCIUSKO STREET"
"2025-01-01T00:00:00.000","ARSON","ARSON 2,3,4","FELONY","MANHATTAN","EAST BROADWAY"
"2025-01-01T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","137 ST.-CITY COLLEGE"
"2025-01-01T00:00:00.000","GRAND LARCENY","LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","FELONY","MANHATTAN","FULTON STREET"
"2025-01-01T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BRONX","ALLERTON AVENUE"
