"cmplnt_fr_dt","ofns_desc","pd_desc","law_cat_cd","boro_nm","station_name"
"2024-12-31T00:00:00.000","ADMINISTRATIVE CODE","N.Y.C. TRANSIT AUTH. R&R","VIOLATION","BRONX","205 ST.-NORWOOD"
"2024-12-31T00:00:00.000","PETIT LARCENY","LARCENY,PETIT FROM OPEN AREAS,","MISDEMEANOR","BRONX","EAST TREMONT AVE.-WEST FARMS S"
"2024-12-31T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BROOKLYN","CRESCENT STREET"
"2024-12-31T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","QUEENS","ROOSEVELT AVE.-JACKSON HEIGHTS"
"2024-12-31T00:00:00.000","OTHER OFFENSES RELATED TO THEFT","THEFT OF SERVICES, UNCLASSIFIE","MISDEMEANOR","BRONX","EAST 180 STREET"
"2024-12-30T00:00:00.000","PETIT LARCENY","LARCENY,PETIT FROM OPEN AREAS,","MISDEMEANOR","MANHATTAN","6 AVENUE"
"2024-12-31T00:00:00.000","CRIMINAL TRESPASS","TRESPASS 3, CRIMINAL","MISDEMEANOR","MANHATTAN","42 ST.-TIMES SQUARE"
"2024-12-22T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MISCHIEF 4TH, GRAFFIT","MISDEMEANOR","MANHATTAN","CHAMBERS STREET"
"2024-12-30T00:00:00.000","GRAND LARCENY","LARCENY,GRAND FROM PERSON,PICK","FELONY","BROOKLYN","MYRTLE AVENUE"
"2024-12-31T00:00:00.000","HARRASSMENT 2","HARASSMENT,SUBD 3,4,5","VIOLATION","MANHATTAN","23 STREET"
"2024-12-13T00:00:00.000","PETIT LARCENY","LARCENY,PETIT FROM OPEN AREAS,","MISDEMEANOR","BROOKLYN","BROADWAY-EASTERN PKWY"
"2024-12-29T00:00:00.000","GRAND LARCENY","LARCENY,GRAND FROM PERSON,PICK","FELONY","MANHATTAN","42 ST.-TIMES SQUARE"
"2024-12-31T00:00:00.000","FELONY ASSAULT","ASSAULT POLICE/PEACE OFFICER","FELONY","QUEENS","FAR ROCKAWAY-MOTT AVE."
"2024-12-31T00:00:00.000","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","FELONY","MANHATTAN","18 STREET"
"2024-12-31T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","14 STREET"
