station_name,avg_monthly_ridership
1 AVENUE,616013.0
103 STREET,593427.0
103 ST.-CORONA PLAZA,447708.0
104 STREET,84219.0
110 STREET,203209.0
111 STREET,385088.0
116 STREET,585052.0
116 ST.-COLUMBIA UNIVERSITY,294769.0
121 STREET,44960.0
125 STREET,1483857.0
135 STREET,332243.0
137 ST.-CITY COLLEGE,235186.0
138 ST.-GRAND CONCOURSE,76298.0
145 STREET,680288.0
149 ST.-GRAND CONCOURSE,215667.0
15 ST.-PROSPECT PARK,124284.0
155 STREET,102223.0
157 STREET,199365.0
161 ST.-YANKEE STADIUM,506249.0
163 ST.-AMSTERDAM AVE.,80870.0
167 STREET,310254.0
168 ST.-WASHINGTON HTS.,451959.0
169 STREET,150392.0
170 STREET,239731.0
175 STREET,199925.0
176 STREET,100971.0
18 AVENUE,295342.0
18 STREET,157528.0
181 STREET,396656.0
183 STREET,97180.0
190 STREET,82374.0
191 STREET,146888.0
2 AVENUE,391459.0
20 AVENUE,190077.0
207 STREET,117697.0
21 STREET,40571.0
21 ST.-QUEENSBRIDGE,233590.0
215 STREET,45323.0
219 STREET,48422.0
225 STREET,53355.0
23 STREET,1668090.0
231 STREET,167517.0
233 STREET,66606.0
238 STREET,87589.0
25 AVENUE,79998.0
25 STREET,76794.0
28 STREET,963870.0
3 AVENUE,158568.0
3 AVENUE-138 STREET,157686.0
3 AVENUE-149 STREET,358584.0
30 AVENUE,281094.0
33 STREET,547655.0
34 ST.-HERALD SQ.,2209790.0
34 ST.-PENN STATION,3221866.0
36 AVENUE,137167.0
36 STREET,410618.0
4 AVENUE-9 STREET,266508.0
45 STREET,172743.0
46 STREET,164248.0
47-50 STS./ROCKEFELLER CTR.,1150325.0
49 STREET,625819.0
50 STREET,1111520.0
52 STREET,92095.0
53 STREET,189349.0
55 STREET,36408.0
57 STREET,305889.0
59 STREET,275201.0
59 ST.-COLUMBUS CIRCLE,1464421.0
61 ST.-WOODSIDE,355854.0
63 DRIVE-REGO PARK,273343.0
65 STREET,74779.0
66 ST.-LINCOLN CENTER,432952.0
67 AVENUE,157370.0
68 ST.-HUNTER COLLEGE,467526.0
69 STREET,83061.0
7 AVENUE,834640.0
71 STREET,97916.0
72 STREET,1697297.0
75 AVENUE,66487.0
77 STREET,670946.0
79 STREET,449212.0
8 AVENUE,245099.0
8 ST.-NYU,367882.0
80 STREET,80875.0
85 ST.-FOREST PKWY.,54860.0
